postcode,count
0800,429
0801,15
0810,787
0812,325
0820,754
0821,11
0822,197
0828,148
0829,44
0830,303
0831,14
0832,170
0834,59
0835,94
0836,204
0837,21
0838,33
0839,18
0840,12
0841,15
0845,12
0846,6
0850,180
0851,24
0852,56
0854,10
0860,25
0862,8
0870,592
0871,39
0872,56
0873,22
0875,14
0880,31
0881,10
0885,8
0886,16
1230,14
1335,6
1340,11
1355,10
1470,5
1490,5
1565,5
1595,5
1655,5
1885,6
2000,10837
2001,35
2006,11
2007,544
2008,497
2009,906
2010,3109
2011,1259
2015,1335
2016,708
2017,993
2018,909
2019,833
2020,851
2021,1076
2022,1353
2023,597
2024,639
2025,519
2026,2188
2027,580
2028,581
2029,685
2030,844
2031,1589
2032,474
2033,442
2034,896
2035,1478
2036,1230
2037,688
2038,530
2039,558
2040,1258
2041,988
2042,1120
2043,338
2044,577
2045,301
2046,1382
2047,671
2048,336
2049,504
2050,441
2052,8
2057,11
2059,5
2060,1860
2061,404
2062,357
2063,320
2064,725
2065,2101
2066,1478
2067,2051
2068,748
2069,701
2070,596
2071,518
2072,497
2073,735
2074,820
2075,937
2076,941
2077,1596
2079,217
2080,134
2081,186
2082,170
2083,88
2084,237
2085,553
2086,731
2087,565
2088,1451
2089,781
2090,600
2092,386
2093,1204
2094,270
2095,1116
2096,745
2097,769
2099,1966
2100,1802
2101,1022
2102,566
2103,842
2104,195
2105,126
2106,638
2107,1131
2108,125
2109,6
2110,483
2111,810
2112,1368
2113,1116
2114,935
2115,426
2116,461
2117,791
2118,1104
2119,455
2120,806
2121,1102
2122,1341
2124,25
2125,676
2126,564
2127,845
2128,482
2129,35
2130,332
2131,775
2132,427
2133,409
2134,1099
2135,1107
2136,404
2137,1312
2138,784
2140,783
2141,1271
2142,1182
2143,419
2144,1985
2145,2661
2146,468
2147,1399
2148,2381
2150,2036
2151,862
2152,375
2153,3037
2154,2009
2155,2290
2156,683
2157,264
2158,573
2159,291
2160,1649
2161,1444
2162,699
2163,335
2164,1598
2165,1313
2166,1736
2167,229
2168,973
2170,4172
2171,1171
2172,93
2173,295
2174,233
2175,158
2176,1425
2177,394
2178,250
2179,379
2190,1443
2191,256
2192,636
2193,621
2194,1141
2195,1542
2196,1539
2197,414
2198,314
2199,714
2200,2466
2203,447
2204,1579
2205,779
2206,847
2207,1038
2208,676
2209,582
2210,1287
2211,764
2212,706
2213,632
2214,256
2216,1313
2217,1270
2218,536
2219,574
2220,1550
2221,701
2222,388
2223,754
2224,673
2225,196
2226,373
2227,561
2228,1000
2229,1953
2230,1542
2231,150
2232,1377
2233,856
2234,1096
2250,2890
2251,1286
2256,415
2257,982
2258,203
2259,1855
2260,1235
2261,1624
2262,380
2263,583
2264,448
2265,169
2267,76
2278,62
2280,806
2281,432
2282,545
2283,630
2284,338
2285,840
2286,83
2287,759
2289,686
2290,1220
2291,707
2292,201
2293,162
2294,109
2295,132
2296,89
2297,66
2298,215
2299,306
2300,931
2302,209
2303,436
2304,525
2305,437
2306,16
2307,46
2308,6
2311,36
2312,50
2315,527
2316,282
2317,273
2318,330
2319,112
2320,1165
2321,406
2322,564
2323,662
2324,609
2325,669
2326,134
2327,139
2328,52
2329,84
2330,464
2333,217
2334,52
2335,180
2336,60
2337,295
2338,65
2339,43
2340,1649
2341,26
2342,29
2343,209
2344,28
2345,36
2346,102
2347,97
2350,891
2352,89
2353,24
2354,292
2355,13
2357,141
2358,145
2359,28
2360,488
2361,34
2365,232
2369,14
2370,365
2371,60
2372,240
2379,29
2380,354
2381,50
2382,62
2386,34
2387,17
2388,156
2390,336
2395,26
2396,27
2397,29
2398,19
2399,31
2400,465
2401,18
2402,89
2403,44
2404,65
2405,47
2406,42
2408,37
2409,27
2410,12
2411,6
2415,11
2420,146
2421,80
2422,165
2423,114
2424,20
2425,70
2426,11
2427,54
2428,768
2429,208
2430,821
2431,145
2439,105
2440,534
2441,128
2443,226
2444,1847
2445,213
2446,458
2447,227
2448,238
2449,59
2450,1920
2452,427
2453,102
2454,371
2455,99
2456,509
2460,678
2462,76
2463,228
2464,322
2465,11
2466,44
2469,102
2470,353
2471,45
2472,59
2473,80
2474,214
2475,15
2476,15
2477,499
2478,1363
2479,565
2480,1669
2481,1565
2482,556
2483,779
2484,827
2485,550
2486,1101
2487,816
2488,180
2489,292
2490,28
2500,1683
2502,282
2505,149
2506,118
2508,366
2515,561
2516,233
2517,380
2518,552
2519,538
2520,7
2525,330
2526,498
2527,516
2528,430
2529,790
2530,613
2533,648
2534,257
2535,376
2536,613
2537,378
2538,157
2539,772
2540,1249
2541,847
2545,35
2546,470
2548,354
2549,187
2550,567
2551,142
2555,15
2556,164
2557,505
2558,219
2559,53
2560,1819
2563,9
2564,321
2565,970
2566,838
2567,1496
2568,44
2569,56
2570,1697
2571,464
2572,133
2573,127
2574,168
2575,713
2576,822
2577,805
2578,116
2579,159
2580,794
2581,71
2582,427
2583,150
2584,31
2585,12
2586,125
2587,125
2588,25
2590,219
2594,406
2600,489
2601,495
2602,677
2603,367
2604,375
2605,235
2606,361
2607,321
2609,550
2611,565
2612,386
2614,347
2615,641
2617,700
2618,74
2619,176
2620,1132
2621,196
2622,189
2623,13
2624,10
2625,51
2626,20
2627,327
2628,111
2629,22
2630,338
2631,29
2632,74
2633,10
2640,1464
2641,342
2642,208
2643,63
2644,80
2645,30
2646,245
2647,89
2648,76
2650,1985
2651,35
2652,204
2653,65
2655,50
2656,68
2658,57
2659,35
2660,50
2663,125
2665,113
2666,259
2668,24
2669,116
2671,186
2672,58
2675,53
2680,921
2681,52
2700,123
2701,70
2702,23
2703,9
2705,236
2706,24
2707,91
2710,365
2711,117
2712,68
2713,136
2714,114
2715,49
2716,71
2717,25
2720,216
2721,18
2722,108
2725,19
2726,16
2727,20
2729,67
2730,46
2731,251
2732,71
2733,19
2734,19
2735,11
2736,13
2737,23
2738,57
2739,39
2745,838
2747,938
2748,120
2749,364
2750,1746
2751,8
2752,160
2753,636
2754,207
2756,1462
2757,40
2758,411
2759,599
2760,768
2761,771
2762,330
2763,754
2765,1000
2766,411
2767,448
2768,907
2769,396
2770,984
2773,215
2774,360
2775,76
2776,116
2777,555
2778,62
2779,131
2780,665
2782,228
2783,97
2784,37
2785,234
2786,49
2787,116
2790,346
2791,9
2792,8
2793,31
2794,368
2795,1246
2797,10
2798,92
2799,94
2800,1378
2803,7
2804,117
2805,18
2806,43
2807,12
2809,16
2810,184
2817,11
2818,20
2820,174
2821,207
2822,17
2823,86
2824,122
2825,111
2826,12
2827,139
2828,47
2829,151
2830,1567
2831,158
2832,103
2833,20
2834,75
2835,123
2836,17
2839,22
2840,95
2842,30
2843,53
2844,58
2845,35
2846,12
2847,35
2848,19
2849,61
2850,682
2852,109
2864,27
2865,29
2866,116
2867,22
2868,23
2869,104
2870,417
2871,392
2873,63
2874,32
2875,58
2876,38
2877,140
2878,13
2879,11
2880,422
2898,46
2899,157
2900,93
2902,218
2903,160
2904,210
2905,436
2906,222
2911,278
2912,236
2913,676
2914,530
3000,7033
3001,17
3002,551
3003,461
3004,1392
3005,12
3006,999
3008,911
3011,1219
3012,1118
3013,655
3015,666
3016,892
3018,452
3019,346
3020,1891
3021,1474
3022,77
3023,2054
3024,544
3025,510
3026,566
3027,323
3028,695
3029,3889
3030,3492
3031,791
3032,1161
3033,519
3034,319
3036,209
3037,1382
3038,857
3039,795
3040,1218
3041,543
3042,894
3043,1103
3044,893
3045,29
3046,1168
3047,756
3048,617
3049,295
3050,5
3051,919
3052,247
3053,872
3054,442
3055,437
3056,1405
3057,721
3058,1752
3059,641
3060,595
3061,1020
3062,125
3063,24
3064,3065
3065,1058
3066,1126
3067,692
3068,1040
3070,1242
3071,863
3072,1634
3073,1566
3074,1249
3075,645
3076,1270
3078,617
3079,768
3081,715
3082,929
3083,1089
3084,964
3085,342
3087,221
3088,971
3089,421
3090,127
3091,95
3093,167
3094,315
3095,1301
3096,66
3097,90
3099,217
3101,1368
3102,383
3103,831
3104,941
3105,480
3106,782
3107,567
3108,974
3109,1291
3111,459
3113,438
3114,185
3115,195
3116,396
3121,2610
3122,1332
3123,726
3124,1315
3125,601
3126,418
3127,868
3128,1198
3129,624
3130,1334
3131,1016
3132,695
3133,822
3134,1517
3135,624
3136,1490
3137,504
3138,616
3139,520
3140,652
3141,1715
3142,759
3143,552
3144,826
3145,1066
3146,977
3147,577
3148,354
3149,1594
3150,2443
3151,407
3152,1231
3153,1284
3154,138
3155,696
3156,1320
3158,234
3159,98
3160,387
3161,910
3162,1049
3163,1139
3164,7
3165,1126
3166,1251
3167,427
3168,986
3169,760
3170,935
3171,1032
3172,688
3173,1062
3174,1087
3175,3497
3177,409
3178,1271
3179,291
3180,407
3181,1427
3182,1478
3183,861
3184,839
3185,852
3186,1428
3187,746
3188,902
3189,880
3190,512
3191,507
3192,1400
3193,936
3194,591
3195,1830
3196,841
3197,405
3198,714
3199,1884
3200,69
3201,879
3202,177
3204,1364
3205,1670
3206,691
3207,1749
3211,40
3212,354
3213,145
3214,356
3215,661
3216,1556
3217,336
3218,578
3219,487
3220,1552
3221,62
3222,507
3223,198
3224,456
3225,221
3226,686
3227,223
3228,1116
3230,150
3231,88
3232,113
3233,171
3234,19
3235,28
3236,16
3237,17
3238,19
3239,9
3240,90
3241,90
3242,39
3243,25
3249,89
3250,336
3251,15
3254,5
3260,123
3264,45
3265,39
3266,54
3267,5
3268,52
3269,55
3270,12
3271,6
3272,36
3273,9
3275,14
3277,40
3279,5
3280,1012
3281,61
3282,61
3283,45
3284,176
3285,25
3286,9
3287,6
3289,12
3292,7
3293,6
3294,36
3300,285
3301,25
3302,6
3304,39
3305,324
3311,40
3312,18
3314,20
3315,16
3318,26
3319,7
3321,71
3324,20
3325,14
3328,33
3329,10
3330,6
3331,173
3332,32
3333,27
3334,18
3335,88
3336,331
3337,940
3338,573
3340,593
3341,59
3342,112
3345,34
3350,2263
3351,264
3352,604
3353,9
3355,372
3356,323
3357,105
3358,41
3360,24
3361,18
3363,103
3364,91
3370,53
3371,22
3373,77
3374,11
3375,14
3377,190
3378,6
3379,15
3380,135
3381,73
3384,16
3385,11
3387,7
3388,5
3390,10
3393,56
3395,6
3396,13
3400,359
3401,102
3402,7
3407,13
3409,19
3414,17
3418,65
3419,23
3420,6
3423,5
3424,11
3427,104
3428,33
3429,1013
3430,10
3431,138
3432,10
3433,8
3434,156
3435,109
3437,422
3438,100
3440,96
3441,83
3442,347
3444,433
3446,41
3447,19
3448,40
3450,313
3451,180
3453,57
3458,99
3460,203
3461,237
3462,41
3463,88
3464,26
3465,244
3467,35
3468,7
3469,12
3472,30
3475,9
3477,19
3478,66
3480,41
3483,30
3485,6
3490,32
3494,14
3496,171
3498,190
3500,1030
3501,86
3502,18
3505,123
3509,7
3512,6
3515,56
3516,15
3517,37
3518,23
3521,17
3522,10
3523,102
3525,34
3527,19
3530,8
3531,5
3533,18
3537,26
3540,11
3544,11
3546,13
3549,79
3550,1449
3551,813
3552,6
3555,437
3556,209
3557,14
3558,24
3559,18
3561,108
3562,16
3563,13
3564,697
3566,12
3567,13
3568,91
3570,18
3571,10
3573,9
3575,21
3579,187
3580,23
3581,5
3583,9
3584,29
3585,457
3586,29
3588,9
3589,19
3590,9
3591,8
3594,10
3595,12
3597,21
3608,80
3610,36
3612,32
3614,32
3616,157
3618,9
3620,260
3621,43
3622,12
3623,21
3624,8
3629,179
3630,1040
3631,478
3632,9
3633,25
3634,59
3635,21
3636,134
3637,21
3638,60
3639,15
3640,25
3641,39
3644,343
3646,28
3649,17
3658,167
3659,20
3660,186
3662,5
3663,6
3664,40
3665,17
3666,179
3669,33
3670,16
3671,6
3672,283
3673,56
3675,52
3676,9
3677,587
3678,227
3682,22
3683,37
3685,124
3687,20
3688,39
3690,875
3691,303
3695,17
3697,28
3698,46
3699,69
3700,39
3701,31
3707,48
3709,16
3711,29
3712,16
3713,36
3714,124
3715,11
3717,156
3718,5
3719,19
3720,29
3722,319
3723,144
3724,9
3725,18
3726,9
3727,11
3728,10
3730,314
3732,20
3733,20
3735,19
3737,184
3738,13
3739,14
3740,61
3741,259
3744,35
3746,5
3747,237
3749,64
3750,528
3751,11
3752,725
3753,94
3754,1177
3755,16
3756,341
3757,300
3758,74
3759,64
3760,25
3761,65
3762,8
3763,59
3764,277
3765,235
3766,49
3767,45
3770,186
3775,206
3777,568
3778,17
3779,33
3781,122
3782,298
3783,93
3786,47
3787,73
3788,107
3789,10
3791,78
3792,43
3793,180
3795,76
3796,395
3797,117
3799,185
3802,799
3803,759
3804,413
3805,1794
3806,1720
3807,304
3808,161
